Feature Code,Feature Name,Date,Feature_Value
X1,Current assets,"December 31, 2022"," $2,238,722"
X2,Cost of goods sold,"December 31, 2022", n/a
X3,Depreciation and amortization,n/a, n/a
X4,EBITDA,"December 31, 2022", n/a
X5,Inventory,n/a, n/a
X6,Net Income,"December 31, 2022", n/a
X7,Total Receivables,"December 31, 2022"," $10,802,416"
X8,Market value,n/a, n/a
X9,Net sales,n/a, n/a
X10,Total assets,"December 31, 2022"," $14,113,324"
X11,Total Long term debt,n/a, n/a
X12,EBIT,n/a, n/a
X13,Gross Profit,n/a, n/a
X14,Total Current Liabilities,"December 31, 2022"," $12,621,838"
X15,Retained Earnings,"December 31, 2022"," $641,727"
X16,Total Revenue,n/a, n/a
X17,Total Liabilities,"December 31, 2022"," $12,621,838"
X18,Total Operating Expenses,"December 31, 2022"," $1,491,486"
